OrderID,Date,Category,Product,UnitPrice,Quantity,TotalAmount,PaymentMethod,Region,CustomerRating
ORD-1001,2023-04-13,Home & Kitchen,Blender,75.19,1,75.19,Credit Card,North America,4
ORD-1002,2023-06-29,Home & Kitchen,Coffee Maker,76.09,1,76.09,PayPal,Asia-Pacific,4
ORD-1003,2023-04-03,Electronics,Bluetooth Speaker,134.58,3,403.74,Credit Card,Europe,3
ORD-1004,2023-01-15,Clothing,Hoodie,41.23,1,41.23,Credit Card,North America,1
ORD-1005,2023-04-17,Electronics,Smartwatch,41.75,1,41.75,UPI,North America,4
ORD-1006,2023-03-13,Home & Kitchen,Coffee Maker,22.88,2,45.76,Credit Card,Europe,5
ORD-1007,2023-01-21,Electronics,Gaming Mouse,119.39,2,238.78,UPI,Europe,3
ORD-1008,2023-04-13,Home & Kitchen,Stainless Steel Mug,82.03,2,164.06,PayPal,North America,4
ORD-1009,2023-05-02,Clothing,Denim Jacket,60.77,2,121.54,Credit Card,Latin America,5
ORD-1010,2023-03-16,Beauty,Shampoo Bar,19.03,2,38.06,PayPal,North America,2
ORD-1011,2023-03-29,Electronics,Wireless Headphones,42.05,1,42.05,UPI,Europe,4
ORD-1012,2023-04-27,Clothing,Running Shoes,15.95,1,15.95,Debit Card,Latin America,4
ORD-1013,2023-04-10,Electronics,Wireless Headphones,68.82,1,68.82,Debit Card,Europe,5
ORD-1014,2023-04-14,Beauty,Face Serum,31.47,4,125.88,PayPal,Europe,3
ORD-1015,2023-06-01,Books,Fiction Novel,19.81,2,39.62,PayPal,North America,4
ORD-1016,2023-05-11,Clothing,Hoodie,43.44,1,43.44,Debit Card,North America,5
ORD-1017,2023-05-30,Home & Kitchen,Coffee Maker,110.42,1,110.42,Credit Card,Latin America,5
ORD-1018,2023-02-22,Books,History Hardcover,18.71,4,74.84,PayPal,Europe,4
ORD-1019,2023-01-02,Home & Kitchen,Blender,71.4,1,71.4,Credit Card,Asia-Pacific,4
ORD-1020,2023-03-29,Clothing,Running Shoes,65.94,2,131.88,UPI,North America,4
